probe	gene
216620_s_at	ARHGEF10
221656_s_at	ARHGEF10L
238730_at	ARHGEF11
201333_s_at	ARHGEF12
205507_at	ARHGEF15
208009_s_at	ARHGEF16
203756_at	ARHGEF17
213039_at	ARHGEF18
226857_at	ARHGEF19
1554783_s_at	ARHGEF2
227427_at	ARHGEF25
227197_at	ARHGEF26
236575_at	ARHGEF26-AS1
232994_s_at	ARHGEF28
218501_at	ARHGEF3
1556881_at	ARHGEF33
227717_at	ARHGEF37
221119_at	ARHGEF38
231892_at	ARHGEF39
211891_s_at	ARHGEF4
220326_s_at	ARHGEF40
204765_at	ARHGEF5
209539_at	ARHGEF6
1562271_x_at	ARHGEF7
203264_s_at	ARHGEF9
218917_s_at	ARID1A
238043_at	ARID1B
225486_at	ARID2
205865_at	ARID3A
218964_at	ARID3B
230141_at	ARID4A
214139_at	ARID4B
213138_at	ARID5A
212614_at	ARID5B
201881_s_at	ARIH1
201228_s_at	ARIH2
1559532_at	ARIH2OS
201658_at	ARL1
239581_at	ARL10
1552691_at	ARL11
228201_at	ARL13B
220468_at	ARL14
226383_at	ARL14EP
228151_at	ARL15
234972_at	ARL16
202564_x_at	ARL2
202092_s_at	ARL2BP
202641_at	ARL3
205020_s_at	ARL4A
202206_at	ARL4C
203586_s_at	ARL4D
218150_at	ARL5A
226345_at	ARL5B
242239_at	ARL5B-AS1
1560136_at	ARL5C
223735_at	ARL6
211935_at	ARL6IP1
218216_x_at	ARL6IP4
200761_s_at	ARL6IP5
225707_at	ARL6IP6
225347_at	ARL8A
217852_s_at	ARL8B
229062_at	ARL9
222550_at	ARMC1
1554480_a_at	ARMC10
231263_at	ARMC12
223866_at	ARMC2
240275_at	ARMC3
223794_at	ARMC4
227738_s_at	ARMC5
221758_at	ARMC6
219096_at	ARMC7
203486_s_at	ARMC8
240639_at	ARMC9
218694_at	ARMCX1
203404_at	ARMCX2
217858_s_at	ARMCX3
1552327_at	ARMCX4
1555902_at	ARMCX5
214749_s_at	ARMCX6
230619_at	ARNT
202986_at	ARNT2
210971_s_at	ARNTL
224204_x_at	ARNTL2
200950_at	ARPC1A
201954_at	ARPC1B
207988_s_at	ARPC2
208736_at	ARPC3
217818_s_at	ARPC4
211963_s_at	ARPC5
226914_at	ARPC5L
221483_s_at	ARPP19
231935_at	ARPP21
207136_at	ARR3
222912_at	ARRB1
203388_at	ARRB2
226405_s_at	ARRDC1
226055_at	ARRDC2
224797_at	ARRDC3
239395_at	ARRDC3-AS1
225283_at	ARRDC4
204443_at	ARSA
206129_s_at	ARSB
230131_x_at	ARSD
205894_at	ARSE
214490_at	ARSF
1552632_a_at	ARSG
230275_at	ARSI
219973_at	ARSJ
1569132_s_at	ARSK
1570480_s_at	ART1
210147_at	ART3
242496_at	ART4
1552524_at	ART5
210237_at	ARTN
238140_at	ARV1
205784_x_at	ARVCF
